402 [4.67e-01, 4.64e-01]
403 [4.67e-01, 4.64e-01]
404 [4.67e-01, 4.64e-01]
405 [4.67e-01, 4.64e-01]
406 [4.67e-01, 4.64e-01]
407 [4.67e-01, 4.64e-01]
408 [4.67e-01, 4.64e-01]
409 [4.67e-01, 4.64e-01]
410 [4.67e-01, 4.64e-01]
411 [4.67e-01, 4.64e-01]
412 [4.67e-01, 4.64e-01]
413 [4.67e-01, 4.64e-01]
414 [4.67e-01, 4.64e-01]
415 [4.67e-01, 4.64e-01]
416 [4.67e-01, 4.64e-01]
417 [4.67e-01, 4.64e-01]
418 [4.67e-01, 4.64e-01]
419 [4.67e-01, 4.64e-01]
420 [4.67e-01, 4.64e-01]
421 [4.67e-01, 4.64e-01]
422 [4.67e-01, 4.64e-01]
423 [4.67e-01, 4.64e-01]
424 [4.67e-01, 4.64e-01]
425 [4.67e-01, 4.64e-01]
426 [4.67e-01, 4.64e-01]
427 [4.67e-01, 4.64e-01]
428 [4.67e-01, 4.64e-01]
429 [4.67e-01, 4.64e-01]
430 [4.67e-01, 4.64e-01]
431 [4.67e-01, 4.64e-01]
432 [4.67e-01, 4.64e-01]
433 [4.67e-01, 4.64e-01]
434 [4.67e-01, 4.64e-01]
435 [4.67e-01, 4.64e-01]
436 [4.67e-01, 4.64e-01]
437 [4.67e-01, 4.64e-01]
438 [4.67e-01, 4.64e-01]
439 [4.67e-01, 4.64e-01]
440 [4.67e-01, 4.64e-01]
441 [4.67e-01, 4.63e-01]
442 [4.67e-01, 4.63e-01]
443 [4.67e-01, 4.63e-01]
444 [4.67e-01, 4.63e-01]
445 [4.67e-01, 4.63e-01]
446 [4.67e-01, 4.63e-01]
447 [4.67e-01, 4.63e-01]
448 [4.67e-01, 4.63e-01]
449 [4.67e-01, 4.63e-01]
450 [4.67e-01, 4.63e-01]
451 [4.67e-01, 4.63e-01]
452 [4.67e-01, 4.63e-01]
453 [4.67e-01, 4.63e-01]
454 [4.67e-01, 4.63e-01]
455 [4.67e-01, 4.63e-01]
456 [4.67e-01, 4.63e-01]
457 [4.67e-01, 4.63e-01]
458 [4.67e-01, 4.63e-01]
459 [4.67e-01, 4.63e-01]
460 [4.67e-01, 4.63e-01]
461 [4.67e-01, 4.63e-01]
462 [4.67e-01, 4.63e-01]
463 [4.67e-01, 4.63e-01]
464 [4.67e-01, 4.63e-01]
465 [4.67e-01, 4.63e-01]
466 [4.67e-01, 4.63e-01]
467 [4.67e-01, 4.63e-01]
468 [4.67e-01, 4.63e-01]
469 [4.67e-01, 4.63e-01]
470 [4.67e-01, 4.63e-01]
471 [4.67e-01, 4.63e-01]
472 [4.67e-01, 4.63e-01]
473 [4.67e-01, 4.63e-01]
474 [4.67e-01, 4.63e-01]
475 [4.67e-01, 4.63e-01]
476 [4.67e-01, 4.63e-01]
477 [4.67e-01, 4.63e-01]
478 [4.67e-01, 4.63e-01]
479 [4.67e-01, 4.63e-01]
480 [4.67e-01, 4.63e-01]
481 [4.67e-01, 4.63e-01]
482 [4.67e-01, 4.63e-01]
483 [4.67e-01, 4.63e-01]
484 [4.67e-01, 4.63e-01]
485 [4.67e-01, 4.63e-01]
486 [4.67e-01, 4.63e-01]
487 [4.67e-01, 4.63e-01]
488 [4.67e-01, 4.63e-01]
489 [4.67e-01, 4.63e-01]
490 [4.67e-01, 4.63e-01]
491 [4.67e-01, 4.63e-01]
492 [4.67e-01, 4.63e-01]
493 [4.67e-01, 4.63e-01]
494 [4.67e-01, 4.63e-01]
495 [4.67e-01, 4.63e-01]
496 [4.67e-01, 4.63e-01]
497 [4.67e-01, 4.63e-01]
498 [4.67e-01, 4.63e-01]
499 [4.67e-01, 4.63e-01]
500 [4.67e-01, 4.63e-01]
501 [4.67e-01, 4.63e-01]
502 [4.67e-01, 4.63e-01]
503 [4.67e-01, 4.63e-01]
504 [4.67e-01, 4.63e-01]
505 [4.67e-01, 4.63e-01]
506 [4.67e-01, 4.63e-01]
507 [4.67e-01, 4.63e-01]
508 [4.67e-01, 4.63e-01]
509 [4.67e-01, 4.63e-01]
510 [4.67e-01, 4.63e-01]
511 [4.67e-01, 4.63e-01]
512 [4.67e-01, 4.63e-01]
513 [4.67e-01, 4.63e-01]
514 [4.67e-01, 4.63e-01]
515 [4.67e-01, 4.63e-01]
516 [4.67e-01, 4.63e-01]
517 [4.67e-01, 4.63e-01]
518 [4.67e-01, 4.63e-01]
519 [4.67e-01, 4.63e-01]
520 [4.67e-01, 4.63e-01]
521 [4.67e-01, 4.63e-01]
522 [4.67e-01, 4.63e-01]
