385 [2.03e-02, 5.33e-01]
386 [2.02e-02, 5.31e-01]
387 [2.01e-02, 5.29e-01]
388 [1.99e-02, 5.26e-01]
389 [1.98e-02, 5.24e-01]
390 [1.97e-02, 5.22e-01]
391 [1.96e-02, 5.20e-01]
392 [1.94e-02, 5.17e-01]
393 [1.93e-02, 5.15e-01]
394 [1.92e-02, 5.13e-01]
395 [1.91e-02, 5.11e-01]
396 [1.90e-02, 5.09e-01]
397 [1.88e-02, 5.07e-01]
398 [1.87e-02, 5.04e-01]
399 [1.86e-02, 5.02e-01]
400 [1.85e-02, 5.00e-01]
401 [1.84e-02, 4.98e-01]
402 [1.83e-02, 4.96e-01]
403 [1.82e-02, 4.94e-01]
404 [1.81e-02, 4.92e-01]
405 [1.80e-02, 4.89e-01]
406 [1.79e-02, 4.87e-01]
407 [1.77e-02, 4.85e-01]
408 [1.76e-02, 4.83e-01]
409 [1.75e-02, 4.81e-01]
410 [1.74e-02, 4.79e-01]
411 [1.73e-02, 4.77e-01]
412 [1.72e-02, 4.75e-01]
413 [1.71e-02, 4.73e-01]
414 [1.70e-02, 4.71e-01]
415 [1.69e-02, 4.69e-01]
416 [1.68e-02, 4.67e-01]
417 [1.67e-02, 4.65e-01]
418 [1.66e-02, 4.63e-01]
419 [1.65e-02, 4.61e-01]
420 [1.64e-02, 4.59e-01]
421 [1.63e-02, 4.57e-01]
422 [1.62e-02, 4.55e-01]
423 [1.61e-02, 4.53e-01]
424 [1.59e-02, 4.51e-01]
425 [1.58e-02, 4.49e-01]
426 [1.57e-02, 4.47e-01]
427 [1.56e-02, 4.45e-01]
428 [1.55e-02, 4.43e-01]
429 [1.54e-02, 4.41e-01]
430 [1.53e-02, 4.39e-01]
431 [1.52e-02, 4.37e-01]
432 [1.51e-02, 4.35e-01]
433 [1.50e-02, 4.33e-01]
434 [1.49e-02, 4.32e-01]
435 [1.48e-02, 4.30e-01]
436 [1.47e-02, 4.28e-01]
437 [1.46e-02, 4.26e-01]
438 [1.45e-02, 4.24e-01]
439 [1.45e-02, 4.22e-01]
440 [1.44e-02, 4.20e-01]
441 [1.43e-02, 4.18e-01]
442 [1.42e-02, 4.16e-01]
443 [1.41e-02, 4.15e-01]
444 [1.40e-02, 4.13e-01]
445 [1.39e-02, 4.11e-01]
446 [1.38e-02, 4.09e-01]
447 [1.37e-02, 4.07e-01]
448 [1.36e-02, 4.05e-01]
449 [1.35e-02, 4.03e-01]
450 [1.35e-02, 4.02e-01]
451 [1.34e-02, 4.00e-01]
452 [1.33e-02, 3.98e-01]
453 [1.32e-02, 3.96e-01]
454 [1.31e-02, 3.94e-01]
455 [1.30e-02, 3.92e-01]
456 [1.29e-02, 3.91e-01]
457 [1.29e-02, 3.89e-01]
458 [1.28e-02, 3.87e-01]
459 [1.27e-02, 3.85e-01]
460 [1.26e-02, 3.84e-01]
461 [1.25e-02, 3.82e-01]
462 [1.25e-02, 3.80e-01]
463 [1.24e-02, 3.78e-01]
464 [1.23e-02, 3.76e-01]
465 [1.22e-02, 3.75e-01]
466 [1.21e-02, 3.73e-01]
467 [1.21e-02, 3.71e-01]
468 [1.20e-02, 3.69e-01]
469 [1.19e-02, 3.68e-01]
470 [1.18e-02, 3.66e-01]
471 [1.18e-02, 3.64e-01]
472 [1.17e-02, 3.62e-01]
