0 [1.00e+00, 1.00e+00]
251 [9.66e-01, 9.49e-01]
252 [9.66e-01, 9.49e-01]
253 [9.66e-01, 9.49e-01]
254 [9.66e-01, 9.49e-01]
255 [9.66e-01, 9.49e-01]
256 [9.66e-01, 9.49e-01]
257 [9.66e-01, 9.48e-01]
258 [9.66e-01, 9.48e-01]
259 [9.66e-01, 9.48e-01]
260 [9.66e-01, 9.48e-01]
261 [9.66e-01, 9.48e-01]
262 [9.66e-01, 9.48e-01]
263 [9.66e-01, 9.47e-01]
264 [9.66e-01, 9.47e-01]
265 [9.66e-01, 9.47e-01]
266 [9.66e-01, 9.47e-01]
267 [9.66e-01, 9.47e-01]
268 [9.66e-01, 9.47e-01]
269 [9.66e-01, 9.46e-01]
270 [9.66e-01, 9.46e-01]
271 [9.66e-01, 9.46e-01]
272 [9.66e-01, 9.46e-01]
273 [9.66e-01, 9.46e-01]
274 [9.66e-01, 9.46e-01]
275 [9.66e-01, 9.45e-01]
276 [9.66e-01, 9.45e-01]
277 [9.66e-01, 9.45e-01]
278 [9.66e-01, 9.45e-01]
279 [9.66e-01, 9.45e-01]
280 [9.66e-01, 9.45e-01]
281 [9.66e-01, 9.44e-01]
282 [9.66e-01, 9.44e-01]
283 [9.66e-01, 9.44e-01]
284 [9.66e-01, 9.44e-01]
285 [9.66e-01, 9.44e-01]
286 [9.66e-01, 9.44e-01]
287 [9.66e-01, 9.43e-01]
288 [9.66e-01, 9.43e-01]
289 [9.66e-01, 9.43e-01]
290 [9.66e-01, 9.43e-01]
291 [9.66e-01, 9.43e-01]
292 [9.66e-01, 9.43e-01]
293 [9.66e-01, 9.42e-01]
294 [9.66e-01, 9.42e-01]
295 [9.66e-01, 9.42e-01]
296 [9.66e-01, 9.42e-01]
297 [9.66e-01, 9.42e-01]
298 [9.66e-01, 9.42e-01]
299 [9.66e-01, 9.41e-01]
300 [9.67e-01, 9.41e-01]
301 [9.67e-01, 9.41e-01]
302 [9.67e-01, 9.41e-01]
303 [9.67e-01, 9.41e-01]
304 [9.67e-01, 9.41e-01]
305 [9.67e-01, 9.40e-01]
306 [9.67e-01, 9.40e-01]
307 [9.67e-01, 9.40e-01]
308 [9.67e-01, 9.40e-01]
309 [9.67e-01, 9.40e-01]
310 [9.67e-01, 9.40e-01]
311 [9.67e-01, 9.39e-01]
312 [9.67e-01, 9.39e-01]
313 [9.67e-01, 9.39e-01]
314 [9.67e-01, 9.39e-01]
315 [9.67e-01, 9.39e-01]
316 [9.67e-01, 9.39e-01]
317 [9.67e-01, 9.38e-01]
318 [9.67e-01, 9.38e-01]
319 [9.67e-01, 9.38e-01]
320 [9.67e-01, 9.38e-01]
321 [9.67e-01, 9.38e-01]
322 [9.67e-01, 9.38e-01]
323 [9.67e-01, 9.37e-01]
324 [9.67e-01, 9.37e-01]
325 [9.67e-01, 9.37e-01]
326 [9.67e-01, 9.37e-01]
327 [9.67e-01, 9.37e-01]
328 [9.67e-01, 9.37e-01]
329 [9.67e-01, 9.36e-01]
330 [9.67e-01, 9.36e-01]
331 [9.67e-01, 9.36e-01]
332 [9.67e-01, 9.36e-01]
333 [9.67e-01, 9.36e-01]
334 [9.67e-01, 9.36e-01]
335 [9.67e-01, 9.35e-01]
336 [9.67e-01, 9.35e-01]
337 [9.67e-01, 9.35e-01]
338 [9.67e-01, 9.35e-01]
339 [9.67e-01, 9.35e-01]
340 [9.67e-01, 9.35e-01]
341 [9.67e-01, 9.34e-01]
342 [9.67e-01, 9.34e-01]
343 [9.67e-01, 9.34e-01]
344 [9.67e-01, 9.34e-01]
345 [9.67e-01, 9.34e-01]
346 [9.67e-01, 9.34e-01]
347 [9.67e-01, 9.33e-01]
348 [9.67e-01, 9.33e-01]
349 [9.67e-01, 9.33e-01]
350 [9.67e-01, 9.33e-01]
351 [9.67e-01, 9.33e-01]
352 [9.67e-01, 9.33e-01]
353 [9.67e-01, 9.32e-01]
354 [9.67e-01, 9.32e-01]
355 [9.67e-01, 9.32e-01]
356 [9.67e-01, 9.32e-01]
357 [9.67e-01, 9.32e-01]
358 [9.67e-01, 9.32e-01]
359 [9.67e-01, 9.31e-01]
360 [9.67e-01, 9.31e-01]
361 [9.67e-01, 9.31e-01]
362 [9.67e-01, 9.31e-01]
363 [9.67e-01, 9.31e-01]
364 [9.67e-01, 9.30e-01]
365 [9.67e-01, 9.30e-01]
366 [9.67e-01, 9.30e-01]
367 [9.67e-01, 9.30e-01]
368 [9.67e-01, 9.30e-01]
369 [9.67e-01, 9.30e-01]
370 [9.67e-01, 9.29e-01]
371 [9.67e-01, 9.29e-01]
372 [9.67e-01, 9.29e-01]
373 [9.67e-01, 9.29e-01]
374 [9.67e-01, 9.29e-01]
375 [9.67e-01, 9.29e-01]
376 [9.67e-01, 9.28e-01]
377 [9.67e-01, 9.28e-01]
378 [9.67e-01, 9.28e-01]
379 [9.67e-01, 9.28e-01]
380 [9.67e-01, 9.28e-01]
381 [9.67e-01, 9.27e-01]
382 [9.68e-01, 9.27e-01]
383 [9.68e-01, 9.27e-01]
384 [9.68e-01, 9.27e-01]
385 [9.68e-01, 9.27e-01]
386 [9.68e-01, 9.27e-01]
387 [9.68e-01, 9.26e-01]
388 [9.68e-01, 9.26e-01]
389 [9.68e-01, 9.26e-01]
390 [9.68e-01, 9.26e-01]
391 [9.68e-01, 9.26e-01]
392 [9.68e-01, 9.26e-01]
393 [9.68e-01, 9.25e-01]
394 [9.68e-01, 9.25e-01]
395 [9.68e-01, 9.25e-01]
396 [9.68e-01, 9.25e-01]
397 [9.68e-01, 9.25e-01]
398 [9.68e-01, 9.24e-01]
399 [9.68e-01, 9.24e-01]
400 [9.68e-01, 9.24e-01]
401 [9.68e-01, 9.24e-01]
402 [9.68e-01, 9.24e-01]
403 [9.68e-01, 9.24e-01]
404 [9.68e-01, 9.23e-01]
405 [9.68e-01, 9.23e-01]
406 [9.68e-01, 9.23e-01]
407 [9.68e-01, 9.23e-01]
408 [9.68e-01, 9.23e-01]
409 [9.68e-01, 9.22e-01]
410 [9.68e-01, 9.22e-01]
411 [9.68e-01, 9.22e-01]
412 [9.68e-01, 9.22e-01]
413 [9.68e-01, 9.22e-01]
414 [9.68e-01, 9.22e-01]
415 [9.68e-01, 9.21e-01]
416 [9.68e-01, 9.21e-01]
417 [9.68e-01, 9.21e-01]
418 [9.68e-01, 9.21e-01]
419 [9.68e-01, 9.21e-01]
420 [9.68e-01, 9.20e-01]
421 [9.68e-01, 9.20e-01]
422 [9.68e-01, 9.20e-01]
423 [9.68e-01, 9.20e-01]
424 [9.68e-01, 9.20e-01]
425 [9.68e-01, 9.20e-01]
426 [9.68e-01, 9.19e-01]
427 [9.68e-01, 9.19e-01]
428 [9.68e-01, 9.19e-01]
429 [9.68e-01, 9.19e-01]
430 [9.68e-01, 9.19e-01]
431 [9.68e-01, 9.18e-01]
432 [9.68e-01, 9.18e-01]
433 [9.68e-01, 9.18e-01]
434 [9.68e-01, 9.18e-01]
435 [9.68e-01, 9.18e-01]
436 [9.68e-01, 9.17e-01]
437 [9.68e-01, 9.17e-01]
438 [9.68e-01, 9.17e-01]
439 [9.68e-01, 9.17e-01]
440 [9.68e-01, 9.17e-01]
441 [9.68e-01, 9.17e-01]
442 [9.68e-01, 9.16e-01]
443 [9.68e-01, 9.16e-01]
444 [9.68e-01, 9.16e-01]
445 [9.68e-01, 9.16e-01]
446 [9.68e-01, 9.16e-01]
447 [9.68e-01, 9.15e-01]
448 [9.68e-01, 9.15e-01]
449 [9.68e-01, 9.15e-01]
450 [9.68e-01, 9.15e-01]
451 [9.68e-01, 9.15e-01]
452 [9.68e-01, 9.14e-01]
453 [9.68e-01, 9.14e-01]
454 [9.68e-01, 9.14e-01]
455 [9.68e-01, 9.14e-01]
456 [9.68e-01, 9.14e-01]
457 [9.68e-01, 9.13e-01]
458 [9.68e-01, 9.13e-01]
459 [9.68e-01, 9.13e-01]
460 [9.68e-01, 9.13e-01]
461 [9.68e-01, 9.13e-01]
462 [9.68e-01, 9.13e-01]
463 [9.68e-01, 9.12e-01]
464 [9.68e-01, 9.12e-01]
465 [9.68e-01, 9.12e-01]
466 [9.68e-01, 9.12e-01]
467 [9.68e-01, 9.12e-01]
468 [9.68e-01, 9.11e-01]
469 [9.68e-01, 9.11e-01]
470 [9.68e-01, 9.11e-01]
471 [9.68e-01, 9.11e-01]
472 [9.68e-01, 9.11e-01]
473 [9.68e-01, 9.10e-01]
474 [9.68e-01, 9.10e-01]
475 [9.68e-01, 9.10e-01]
476 [9.68e-01, 9.10e-01]
477 [9.68e-01, 9.10e-01]
478 [9.68e-01, 9.09e-01]
479 [9.68e-01, 9.09e-01]
480 [9.68e-01, 9.09e-01]
481 [9.68e-01, 9.09e-01]
482 [9.68e-01, 9.09e-01]
483 [9.68e-01, 9.08e-01]
484 [9.69e-01, 9.08e-01]
485 [9.69e-01, 9.08e-01]
486 [9.69e-01, 9.08e-01]
487 [9.69e-01, 9.08e-01]
488 [9.69e-01, 9.07e-01]
489 [9.69e-01, 9.07e-01]
490 [9.69e-01, 9.07e-01]
491 [9.69e-01, 9.07e-01]
492 [9.69e-01, 9.07e-01]
493 [9.69e-01, 9.06e-01]
494 [9.69e-01, 9.06e-01]
495 [9.69e-01, 9.06e-01]
496 [9.69e-01, 9.06e-01]
497 [9.69e-01, 9.06e-01]
498 [9.69e-01, 9.05e-01]
499 [9.69e-01, 9.05e-01]
500 [9.69e-01, 9.05e-01]
501 [9.69e-01, 9.05e-01]
502 [9.69e-01, 9.05e-01]
503 [9.69e-01, 9.04e-01]
504 [9.69e-01, 9.04e-01]
505 [9.69e-01, 9.04e-01]
506 [9.69e-01, 9.04e-01]
507 [9.69e-01, 9.04e-01]
