250 [4.57e-01, 3.03e-01]
251 [4.56e-01, 3.03e-01]
252 [4.56e-01, 3.03e-01]
253 [4.56e-01, 3.03e-01]
254 [4.56e-01, 3.03e-01]
255 [4.56e-01, 3.03e-01]
256 [4.56e-01, 3.03e-01]
257 [4.56e-01, 3.03e-01]
258 [4.56e-01, 3.03e-01]
259 [4.56e-01, 3.03e-01]
260 [4.56e-01, 3.02e-01]
261 [4.56e-01, 3.02e-01]
262 [4.56e-01, 3.02e-01]
263 [4.56e-01, 3.02e-01]
264 [4.55e-01, 3.02e-01]
265 [4.55e-01, 3.02e-01]
266 [4.55e-01, 3.02e-01]
267 [4.55e-01, 3.02e-01]
268 [4.55e-01, 3.02e-01]
269 [4.55e-01, 3.02e-01]
270 [4.55e-01, 3.02e-01]
271 [4.55e-01, 3.02e-01]
272 [4.55e-01, 3.02e-01]
273 [4.55e-01, 3.01e-01]
274 [4.55e-01, 3.01e-01]
275 [4.55e-01, 3.01e-01]
276 [4.55e-01, 3.01e-01]
277 [4.54e-01, 3.01e-01]
278 [4.54e-01, 3.01e-01]
279 [4.54e-01, 3.01e-01]
280 [4.54e-01, 3.01e-01]
281 [4.54e-01, 3.01e-01]
282 [4.54e-01, 3.01e-01]
283 [4.54e-01, 3.01e-01]
284 [4.54e-01, 3.01e-01]
285 [4.54e-01, 3.00e-01]
286 [4.54e-01, 3.00e-01]
287 [4.54e-01, 3.00e-01]
288 [4.54e-01, 3.00e-01]
289 [4.53e-01, 3.00e-01]
290 [4.53e-01, 3.00e-01]
291 [4.53e-01, 3.00e-01]
292 [4.53e-01, 3.00e-01]
293 [4.53e-01, 3.00e-01]
294 [4.53e-01, 3.00e-01]
295 [4.53e-01, 3.00e-01]
296 [4.53e-01, 3.00e-01]
297 [4.53e-01, 3.00e-01]
298 [4.53e-01, 2.99e-01]
299 [4.53e-01, 2.99e-01]
300 [4.52e-01, 2.99e-01]
301 [4.52e-01, 2.99e-01]
302 [4.52e-01, 2.99e-01]
303 [4.52e-01, 2.99e-01]
304 [4.52e-01, 2.99e-01]
305 [4.52e-01, 2.99e-01]
306 [4.52e-01, 2.99e-01]
307 [4.52e-01, 2.99e-01]
308 [4.52e-01, 2.99e-01]
309 [4.52e-01, 2.99e-01]
310 [4.52e-01, 2.99e-01]
311 [4.52e-01, 2.99e-01]
312 [4.51e-01, 2.98e-01]
313 [4.51e-01, 2.98e-01]
314 [4.51e-01, 2.98e-01]
315 [4.51e-01, 2.98e-01]
316 [4.51e-01, 2.98e-01]
317 [4.51e-01, 2.98e-01]
318 [4.51e-01, 2.98e-01]
319 [4.51e-01, 2.98e-01]
320 [4.51e-01, 2.98e-01]
321 [4.51e-01, 2.98e-01]
322 [4.51e-01, 2.98e-01]
323 [4.51e-01, 2.98e-01]
324 [4.51e-01, 2.98e-01]
325 [4.51e-01, 2.98e-01]
326 [4.50e-01, 2.98e-01]
327 [4.50e-01, 2.98e-01]
328 [4.50e-01, 2.97e-01]
329 [4.50e-01, 2.97e-01]
330 [4.50e-01, 2.97e-01]
331 [4.50e-01, 2.97e-01]
332 [4.50e-01, 2.97e-01]
333 [4.50e-01, 2.97e-01]
