"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-16,Lemvig,K,5760,3566,5530,3499,230,67
2021-06-16,Lemvig,M,5548,2910,5278,2818,270,92
2021-06-16,Struer,K,6088,3917,5988,3640,100,277
2021-06-16,Struer,M,5559,3026,5459,2776,100,250
2021-06-16,Syddjurs,K,12070,7220,11871,7122,199,98
2021-06-16,Syddjurs,M,11305,5797,11067,5709,238,88
2021-06-16,Norddjurs,K,10436,6411,10194,6383,242,28
2021-06-16,Norddjurs,M,9535,4889,9249,4864,286,25
2021-06-16,Favrskov,K,12350,7143,12038,7006,312,137
2021-06-16,Favrskov,M,11228,5134,10865,5015,363,119
2021-06-16,Odder,K,6491,3945,6365,3849,126,96
2021-06-16,Odder,M,5770,2863,5633,2770,137,93
2021-06-16,Randers,K,24543,15169,24053,14938,490,231
2021-06-16,Randers,M,21455,10500,20924,10288,531,212
2021-06-16,Silkeborg,K,24164,14391,23653,14202,511,189
2021-06-16,Silkeborg,M,21703,10705,21172,10516,531,189
2021-06-16,Samsø,K,1223,832,1222,830,1,2
2021-06-16,Samsø,M,1112,643,1109,641,3,2
2021-06-16,Skanderborg,K,15904,9093,15611,8871,293,222
2021-06-16,Skanderborg,M,14499,6683,14198,6475,301,208
2021-06-16,Århus,K,75520,46276,73845,44924,1675,1352
2021-06-16,Århus,M,64655,33882,62787,32405,1868,1477
2021-06-16,Ikast-Brande,K,10309,6124,10011,6103,298,21
2021-06-16,Ikast-Brande,M,9636,4796,9281,4772,355,24
2021-06-16,Ringkøbing-Skjern,K,15120,9400,14891,9138,229,262
2021-06-16,Ringkøbing-Skjern,M,13903,7347,13664,7064,239,283
2021-06-16,Hedensted,K,11870,7223,11668,7111,202,112
2021-06-16,Hedensted,M,10959,5369,10716,5223,243,146
2021-06-16,Morsø,K,5534,3765,5506,3520,28,245
2021-06-16,Morsø,M,4996,2846,4960,2616,36,230
2021-06-16,Skive,K,12459,8119,12267,7792,192,327
2021-06-16,Skive,M,11477,6479,11281,6060,196,419
2021-06-16,Thisted,K,12209,7182,11873,7146,336,36
2021-06-16,Thisted,M,11120,5437,10721,5380,399,57
2021-06-16,Viborg,K,24873,15737,24433,15558,440,179
2021-06-16,Viborg,M,22264,11700,21769,11475,495,225
2021-06-16,Brønderslev,K,9002,5554,8860,5554,142,0
2021-06-16,Brønderslev,M,8097,3915,7962,3909,135,6
2021-06-16,Frederikshavn,K,17157,10438,16598,10433,559,5
2021-06-16,Frederikshavn,M,15415,7903,14890,7896,525,7
2021-06-16,Vesthimmerland,K,9920,6201,9887,6192,33,9
2021-06-16,Vesthimmerland,M,9116,4677,9079,4662,37,15
2021-06-16,Læsø,K,710,448,709,444,1,4
2021-06-16,Læsø,M,704,394,702,392,2,2
2021-06-16,Rebild,K,7389,4420,7289,4415,100,5
2021-06-16,Rebild,M,6834,3238,6714,3230,120,8
2021-06-16,Mariagerfjord,K,11354,6529,11032,6514,322,15
2021-06-16,Mariagerfjord,M,10702,5181,10360,5157,342,24
2021-06-16,Jammerbugt,K,9814,6422,9702,6417,112,5
2021-06-16,Jammerbugt,M,8841,4891,8711,4887,130,4
2021-06-16,Aalborg,K,47970,31429,47572,30594,398,835
2021-06-16,Aalborg,M,41224,22750,40750,22008,474,742
2021-06-16,Hjørring,K,17197,11106,16801,11101,396,5
2021-06-16,Hjørring,M,14883,7923,14478,7912,405,11
