bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Stevns,7545,"Himlingøje,Stevns",186,20,11%,16%,47%,26%
Stevns,7546,"Endeslev,Stevns",334,37,11%,13%,41%,35%
Stevns,7547,"Vråby,Stevns",190,19,10%,15%,42%,33%
Stevns,7548,"St Heddinge,Stevns",2906,333,11%,11%,33%,44%
Stevns,7549,"Højerup,Stevns",168,16,10%,11%,40%,40%
Stevns,7550,"Lyderslev,Stevns",474,55,12%,14%,40%,35%
Stevns,7551,"Frøslev,Stevns",222,39,18%,8%,37%,37%
Struer,8655,"Hvidbjerg,Struer",1104,111,10%,11%,33%,46%
Struer,8656,"Lyngs,Struer",182,32,18%,14%,30%,39%
Struer,8657,"Søndbjerg,Struer",188,31,16%,7%,38%,38%
Struer,8658,"Odby,Struer",327,38,12%,13%,31%,43%
Struer,8659,"Jegindø,Struer",332,30,9%,7%,33%,51%
Struer,8816,"Struer,Struer",5461,570,10%,8%,34%,48%
Struer,8817,"Gimsing,Struer",1416,142,10%,10%,36%,44%
Struer,8818,"Vejrum,Struer",306,28,9%,12%,33%,45%
Struer,8820,"Hjerm,Struer",823,76,9%,11%,37%,43%
Struer,8822,"Ølby,Struer",164,14,9%,7%,47%,37%
Struer,8823,"Asp,Struer",695,69,10%,10%,36%,44%
Struer,8824,"Fousing,Struer",207,28,14%,12%,42%,33%
Struer,8853,"Resen,Struer",790,69,9%,11%,40%,41%
Struer,8854,"Humlum,Struer",1717,89,5%,10%,37%,47%
Struer,8855,"Venø,Struer",150,12,8%,9%,39%,44%
Struer,9208,"Hjerm Østre,Struer",259,24,9%,10%,43%,37%
Svendborg,,,46,25,54%,4%,22%,20%
Svendborg,7675,"Vor Frue,Svendborg",4470,638,14%,8%,33%,45%
Svendborg,7676,"Skt Nikolai,Svendbg",1729,151,9%,8%,30%,53%
Svendborg,7677,"Skt Jørgens,Svendbg",3516,209,6%,8%,30%,56%
Svendborg,7678,"Sørup,Svendborg",2147,243,11%,8%,33%,47%
Svendborg,7679,"Skårup,Svendborg",1698,107,6%,11%,37%,46%
Svendborg,7680,"Tved,Svendborg",1873,133,7%,7%,33%,53%
Svendborg,7681,"Egense,Svendborg",1790,99,6%,7%,35%,52%
Svendborg,7682,"Ø Skerninge,Svendbor",572,59,10%,8%,32%,50%
Svendborg,7683,"Hundstrup,Svendborg",349,60,17%,7%,38%,38%
Svendborg,7684,"Ollerup,Svendborg",576,62,11%,6%,30%,53%
Svendborg,7685,"Kirkeby,Svendborg",774,79,10%,9%,39%,42%
Svendborg,7686,"Stenstrup,Svendborg",1329,119,9%,8%,34%,49%
Svendborg,7687,"Lunde,Svendborg",302,44,15%,6%,36%,43%
Svendborg,7689,"Thurø,Svendborg",2431,120,5%,9%,32%,54%
Svendborg,7690,"Bregninge,Svendborg",2690,145,5%,8%,31%,56%
Svendborg,7691,"Landet,Svendborg",670,63,9%,7%,31%,52%
Svendborg,7692,"Bjerreby,Svendborg",668,63,9%,11%,36%,43%
Svendborg,7693,"Drejø,Svendborg",92,<10,,,,
Svendborg,7699,"V Skerninge,Svendbor",809,85,11%,9%,34%,46%
Svendborg,7700,"Ulbølle,Svendborg",596,66,11%,6%,37%,46%
Svendborg,7719,"Oure,Svendborg",491,63,13%,13%,35%,39%
Svendborg,7720,"Vejstrup,Svendborg",358,43,12%,13%,33%,42%
Svendborg,7721,"Gudme,Svendborg",745,61,8%,12%,35%,45%
Svendborg,7722,"Brudager,Svendborg",193,20,10%,10%,42%,37%
Svendborg,7723,"Gudbjerg,Svendborg",807,82,10%,13%,34%,44%
Svendborg,7772,"Hesselager,Svendborg",915,87,10%,10%,32%,48%
Svendborg,9139,"Fredens,Svendborg",3164,259,8%,8%,31%,52%
Svendborg,9258,"Lundeborg,Svendborg",418,22,5%,7%,31%,56%
Syddjurs,,,30,17,57%,10%,23%,10%
Syddjurs,8172,"Hyllested,Syddjurs",258,39,15%,11%,34%,40%
Syddjurs,8173,"Rosmus,Syddjurs",536,81,15%,12%,36%,37%
Syddjurs,8174,"Tirstrup,Syddjurs",469,57,12%,14%,32%,42%
Syddjurs,8175,"Fuglslev,Syddjurs",235,27,11%,5%,29%,54%
Syddjurs,8176,"Feldballe,Syddjurs",607,90,15%,14%,38%,34%
Syddjurs,8177,"Nødager,Syddjurs",404,63,16%,11%,43%,31%
Syddjurs,8178,"Kolind,Syddjurs",1211,93,8%,14%,37%,42%
Syddjurs,8179,"Ebdrup,Syddjurs",141,<10,,,,
Syddjurs,8180,"Skarresø,Syddjurs",216,32,15%,10%,36%,39%
Syddjurs,8219,"Marie Magd,Syddjurs",2153,213,10%,15%,37%,39%
Syddjurs,8220,"Koed,Syddjurs",265,24,9%,15%,35%,40%
Syddjurs,8223,"Hvilsager,Syddjurs",405,40,10%,14%,38%,38%
Syddjurs,8224,"Lime,Syddjurs",334,35,10%,17%,38%,34%
Syddjurs,8225,"Mygind,Syddjurs",75,<10,,,,
Syddjurs,8226,"Krogsbæk,Syddjurs",233,16,7%,15%,42%,37%
Syddjurs,8227,"Skørring,Syddjurs",163,<10,,,,
Syddjurs,8228,"Søby,Syddjurs",204,17,8%,18%,44%,30%
Syddjurs,8229,"Skader,Syddjurs",104,14,13%,10%,44%,33%
Syddjurs,8230,"Halling,Syddjurs",138,20,14%,12%,34%,40%
Syddjurs,8242,"Thorsager,Syddjurs",1292,103,8%,13%,39%,41%
Syddjurs,8243,"Bregnet,Syddjurs",3464,226,7%,12%,35%,46%
Syddjurs,8244,"Mørke,Syddjurs",1236,129,10%,13%,38%,38%
Syddjurs,8245,"Hornslet,Syddjurs",4274,306,7%,13%,36%,44%
Syddjurs,8253,"Tved,Syddjurs",612,48,8%,9%,35%,48%
Syddjurs,8254,"Agri,Syddjurs",373,32,9%,17%,34%,41%
Syddjurs,8255,"Egens,Syddjurs",115,14,12%,17%,33%,38%
Syddjurs,8256,"Knebel,Syddjurs",603,39,6%,8%,35%,51%
Syddjurs,8257,"Rolsø,Syddjurs",354,26,7%,11%,40%,42%
Syddjurs,8258,"Vistoft,Syddjurs",388,41,11%,9%,35%,46%
Syddjurs,8259,"Helgenæs,Syddjurs",376,40,11%,5%,35%,49%
Syddjurs,9171,Ebeltoft-Dråby-Handr,6760,589,9%,8%,32%,52%
Syddjurs,9193,"Nim.Tøst,Syddjurs Km",695,83,12%,13%,37%,38%
Sønderborg,,,46,18,39%,9%,28%,24%
Sønderborg,8988,"Skt Marie,Sønderborg",6027,759,13%,5%,39%,43%
Sønderborg,8989,"Christians,Sønderbg",6201,849,14%,7%,39%,40%
Sønderborg,8990,"Augustenborg,Sønderb",1590,161,10%,6%,40%,45%
Sønderborg,8991,"Ketting,Sønderborg",864,67,8%,6%,44%,42%
Sønderborg,8992,"Ulkebøl,Sønderborg",3465,417,12%,7%,43%,38%
Sønderborg,8993,"Notmark,Sønderborg",979,98,10%,7%,44%,39%
Sønderborg,8994,"Asserballe,Sønderbor",532,64,12%,6%,49%,33%
Sønderborg,8995,"Tandslet,Sønderborg",656,72,11%,5%,52%,32%
Sønderborg,8996,"Hørup,Sønderborg",2082,146,7%,7%,41%,45%
Sønderborg,8997,"Lysabild,Sønderborg",964,116,12%,7%,43%,38%
Sønderborg,8998,"Kegnæs,Sønderborg",387,44,11%,4%,44%,40%
Sønderborg,8999,"Nordborg,Sønderborg",2503,311,12%,5%,39%,44%
Sønderborg,9000,"Svenstrup,Sønderborg",767,93,12%,4%,52%,32%
Sønderborg,9001,"Havnbjerg,Sønderborg",2048,214,10%,5%,45%,40%
Sønderborg,9002,"Oksbøl,Sønderborg",477,70,15%,7%,43%,35%
Sønderborg,9003,"Egen,Sønderborg",1927,164,9%,6%,43%,43%
Sønderborg,9004,"Broager,Sønderborg",2823,235,8%,5%,46%,40%
Sønderborg,9005,"Egernsund,Sønderborg",1036,82,8%,5%,46%,41%
Sønderborg,9006,"Dybbøl,Sønderborg",2706,179,7%,8%,48%,37%
Sønderborg,9007,"Nybøl,Sønderborg",751,70,9%,8%,42%,41%
Sønderborg,9008,"Sottrup,Sønderborg",1177,99,8%,8%,47%,37%
Sønderborg,9009,"Ullerup,Sønderborg",1026,104,10%,7%,50%,33%
Sønderborg,9019,"Gråsten,Sønderborg",2286,221,10%,5%,40%,46%
Sønderborg,9025,"Rinkenæs,Sønderborg",1647,171,10%,6%,40%,43%
Sønderborg,9028,"Kværs,Sønderborg",520,57,11%,5%,52%,32%
Sønderborg,9259,"Adsbøl,Sønderborg",355,41,12%,6%,50%,32%
Thisted,8642,"Hillerslev,Thisted",559,37,7%,14%,42%,37%
Thisted,8643,"Kåstrup,Thisted",56,13,23%,13%,50%,14%
Thisted,8644,"Sennels,Thisted",770,35,5%,10%,37%,49%
Thisted,8645,"Hunstrup,Thisted",180,42,23%,14%,34%,28%
Thisted,8646,"Østerild,Thisted",531,43,8%,11%,34%,47%
Thisted,8647,"Hjardemål,Thisted",92,12,13%,11%,24%,52%
Thisted,8648,"Vestervig,Thisted",925,61,7%,9%,38%,47%
Thisted,8649,"Agger,Thisted",291,18,6%,8%,36%,50%
Thisted,8650,"Hurup,Thisted",2016,123,6%,12%,32%,50%
Thisted,8651,"Boddum,Thisted",135,16,12%,4%,33%,50%
Thisted,8652,"Ydby,Thisted",435,45,10%,11%,37%,41%
Thisted,8660,"Snedsted,Thisted",1038,111,11%,10%,38%,42%
Thisted,8661,"Nørhå,Thisted",119,<10,,,,
Thisted,8662,"Sønderhå,Thisted",190,20,11%,15%,42%,33%
Thisted,8663,"Hørsted,Thisted",61,<10,,,,
Thisted,8664,"Harring,Thisted",78,<10,,,,
Thisted,8665,"Stagstrup,Thisted",632,52,8%,9%,34%,49%
Thisted,8666,"Skyum,Thisted",158,19,12%,13%,34%,41%
Thisted,8667,"Hørdum,Thisted",800,57,7%,12%,38%,43%
Thisted,8683,"Hassing,Thisted",143,12,8%,21%,33%,38%
Thisted,8684,"Villerslev,Thisted",180,16,9%,7%,42%,42%
Thisted,8685,"Visby,Thisted",42,<10,,,,
Thisted,8686,"Heltborg,Thisted",258,22,9%,12%,38%,41%
Thisted,8689,"Hvidbjerg,Thisted",157,18,11%,8%,31%,50%
Thisted,8690,"Ørum,Thisted",91,<10,,,,
Thisted,8691,"Lodbjerg,Thisted",23,<10,,,,
Thisted,8714,"Tømmerby, Thisted",687,97,14%,10%,37%,39%
Thisted,8715,"Lild,Thisted",208,18,9%,8%,33%,50%
Thisted,8718,"Øsløs,Thisted",249,29,12%,12%,42%,34%
Thisted,8719,"Vesløs,Thisted",287,26,9%,13%,40%,38%
Thisted,8720,"Arup,Thisted",210,11,5%,8%,33%,54%
Thisted,8721,"Thisted,Thisted",7784,697,9%,12%,33%,46%
Thisted,8722,"Tilsted,Thisted",1132,67,6%,10%,34%,50%
Thisted,8723,"Skinnerup,Thisted",127,<10,,,,
Thisted,8724,"Sjørring,Thisted",763,42,6%,14%,40%,41%
Thisted,8725,"Torsted,Thisted",131,15,11%,17%,38%,34%
Thisted,8726,"Skjoldborg,Thisted",330,39,12%,8%,40%,40%
Thisted,8727,"Kallerup,Thisted",90,<10,,,,
Thisted,8728,"Hundborg,Thisted",541,65,12%,10%,35%,43%
Thisted,8729,"Jannerup,Thisted",83,14,17%,19%,29%,35%
Thisted,8730,"Vang,Thisted",251,26,10%,11%,37%,42%
Thisted,8731,"Rær,Thisted",488,80,16%,11%,34%,39%
Thisted,8732,"Hansted,Thisted",1261,137,11%,11%,38%,40%
Thisted,8733,"Vigsø,Thisted",52,<10,,,,
Thisted,8734,"Nors,Thisted",854,45,5%,13%,37%,45%
Thisted,8735,"Tved,Thisted",140,<10,,,,
Thisted,8736,"V Vandet,Thisted",144,10,7%,14%,41%,38%
Thisted,8737,"Ø Vandet,Thisted",115,11,10%,13%,35%,43%
Thisted,9127,"Klitmøller,Thisted",633,69,11%,13%,27%,49%
Thisted,9129,"Vorupør,Thisted",475,31,7%,8%,40%,46%
Thisted,9198,"Bedsted-Grurup,Thist",867,96,11%,10%,37%,43%
Thisted,9235,"Stenbjerg,Thisted",147,15,10%,3%,33%,54%
Thisted,9320,Helligs-Gettrup Sogn,211,23,11%,7%,36%,46%
Tårnby,,,54,33,61%,11%,20%,7%
Tårnby,7190,"Tårnby,Tårnby",6991,789,11%,8%,39%,42%
Tårnby,7191,"Kastrup,Tårnby",6747,870,13%,8%,35%,44%
Tårnby,9081,"Korsvejens,Tårnby",5382,714,13%,8%,38%,40%
Tårnby,9140,"Skelgårds,Tårnby",8590,809,9%,10%,43%,38%
Tønder,8956,"Agerskov,Tønder",1289,168,13%,13%,37%,37%
Tønder,8958,"Tirslund,Tønder",182,23,13%,14%,49%,24%
Tønder,8959,"Branderup,Tønder",320,46,14%,12%,47%,27%
Tønder,8960,"Toftlund,Tønder",2355,224,10%,16%,33%,42%
Tønder,9016,"Bedsted,Tønder",446,57,13%,9%,41%,38%
Tønder,9031,"Rejsby,Tønder",231,43,19%,15%,35%,32%
Tønder,9032,"Brøns,Tønder",366,30,8%,14%,43%,35%
Tønder,9033,"Vodder,Tønder",366,38,10%,14%,48%,28%
Tønder,9036,"Arrild,Tønder",475,53,11%,14%,41%,34%
Tønder,9038,"Skærbæk,Tønder",2134,182,9%,9%,38%,44%
Tønder,9040,"Ubjerg,Tønder",166,23,14%,13%,45%,28%
Tønder,9041,"Abild,Tønder",652,82,13%,16%,41%,30%
Tønder,9042,"Visby,Tønder",321,31,10%,14%,43%,33%
Tønder,9043,"Daler,Tønder",201,33,16%,16%,45%,23%
Tønder,9044,"Møgeltønder,Tønder",724,69,10%,13%,41%,36%
Tønder,9045,"Løgumkloster,Tønder",2109,198,9%,11%,34%,46%
Tønder,9046,"N Løgum,Tønder",736,72,10%,13%,39%,38%
Tønder,9047,"Brede,Tønder",1137,125,11%,9%,39%,41%
Tønder,9048,"Døstrup,Tønder",394,46,12%,15%,44%,29%
Tønder,9049,"Mjolden,Tønder",114,<10,,,,
Tønder,9050,"Randerup,Tønder",74,16,22%,8%,39%,31%
Tønder,9051,"Højer,Tønder",882,105,12%,9%,38%,41%
Tønder,9052,"Emmerlev,Tønder",356,59,17%,10%,37%,36%
Tønder,9053,"Hjerpsted,Tønder",60,10,17%,2%,45%,37%
Tønder,9054,"Ballum,Tønder",331,41,12%,8%,45%,35%
Tønder,9055,"S Skast,Tønder",70,16,23%,11%,31%,34%
Tønder,9058,"Højst,Tønder",534,67,13%,13%,46%,29%
Tønder,9059,"Hostrup,Tønder",636,97,15%,11%,43%,31%
Tønder,9062,"Rømø,Tønder",450,47,10%,7%,38%,45%
Tønder,9178,"Tønder,Tønder",4997,563,11%,12%,37%,40%
Vallensbæk,,,26,17,65%,4%,19%,12%
Vallensbæk,7149,"Vallensbæk,Vallensbk",10044,1275,13%,8%,37%,43%
Varde,,,21,12,57%,0%,29%,14%
Varde,8738,"Skovlund,Varde",443,46,10%,5%,44%,41%
Varde,8787,"Strellev,Varde",177,14,8%,9%,45%,38%
Varde,8867,"Thorstrup,Varde",685,36,5%,5%,48%,42%
Varde,8868,"Horne,Varde",620,56,9%,5%,48%,38%
Varde,8869,"Hodde,Varde",166,21,13%,4%,48%,36%
Varde,8870,"Tistrup,Varde",1235,125,10%,5%,44%,42%
Varde,8871,"Ølgod,Varde",3164,254,8%,4%,39%,49%
Varde,8872,"Ansager,Varde",1116,112,10%,5%,40%,45%
Varde,8873,"Varde,Varde",9327,784,8%,5%,39%,47%
Varde,8874,"Janderup,Varde",773,61,8%,4%,48%,40%
Varde,8875,"Billum,Varde",507,42,8%,4%,47%,41%
Varde,8876,"Lunde,Varde",540,77,14%,7%,40%,39%
Varde,8877,"Outrup,Varde",925,91,10%,4%,43%,43%
Varde,8878,"Kvong,Varde",274,41,15%,5%,45%,35%
Varde,8879,"N Nebel,Varde",1014,110,11%,4%,33%,52%
Varde,8880,"Lydum,Varde",170,20,12%,8%,43%,37%
Varde,8881,"Henne,Varde",542,55,10%,4%,45%,41%
Varde,8882,"Lønne,Varde",341,30,9%,3%,31%,57%
Varde,8898,"Vester Starup,Varde",648,44,7%,6%,41%,46%
Varde,8910,"Øse,Varde",730,68,9%,4%,39%,48%
Varde,8911,"Næsbjerg,Varde",580,50,9%,4%,42%,46%
Varde,8912,"Grimstrup,Esbjerg",179,40,22%,1%,41%,36%
Varde,8914,"Fåborg,Varde",409,34,8%,3%,48%,40%
Varde,8915,"Årre,Varde",507,35,7%,2%,42%,48%
Varde,8920,"Alslev,Varde",841,76,9%,3%,45%,43%
Varde,9153,"Agerbæk,Varde",887,62,7%,3%,39%,51%
Varde,9196,"Blåvandshuk,Varde",513,39,8%,1%,35%,57%
Varde,9273,"Rousthøje,Varde",197,28,14%,2%,51%,33%
Varde,9291,"Aal,Varde",2340,171,7%,3%,42%,48%
Vejen,8895,"Gørding,Esbjerg",20,<10,,,,
Vejen,8897,"Åstrup,Vejen",704,63,9%,5%,45%,41%
Vejen,8925,"Lindknud,Vejen",448,62,14%,9%,41%,37%
Vejen,8926,"Brørup,Vejen",2416,258,11%,9%,34%,46%
Vejen,8927,"Holsted,Vejen",1211,126,10%,6%,37%,46%
Vejen,8928,"Føvling,Vejen",464,67,14%,8%,42%,36%
Vejen,8929,"Malt,Vejen",338,44,13%,18%,41%,28%
Vejen,8930,"Folding,Vejen",950,78,8%,10%,40%,42%
Vejen,8931,"Vejen,Vejen",5585,599,11%,14%,30%,45%
Vejen,8932,"Læborg,Vejen",390,40,10%,18%,38%,33%
Vejen,8933,"Veerst,Vejen",310,55,18%,18%,40%,25%
Vejen,8934,"Bække,Vejen",899,119,13%,18%,33%,37%
Vejen,8937,"Andst,Vejen",829,103,12%,18%,36%,34%
Vejen,8938,"Gesten,Vejen",859,115,13%,19%,32%,37%
Vejen,8947,"Lintrup,Vejen",426,53,12%,15%,43%,30%
Vejen,8948,"Hjerting,Vejen",122,18,15%,17%,39%,30%
Vejen,8949,"Rødding,Vejen",2006,199,10%,11%,30%,49%
Vejen,8950,"Skrave,Vejen",291,34,12%,16%,37%,35%
Vejen,8951,"Hygum,Vejen",527,80,15%,15%,38%,32%
Vejen,8953,"Ø Lindet,Vejen",438,53,12%,16%,40%,32%
Vejen,8977,"Jels,Vejen",1613,153,9%,17%,33%,41%
Vejen,8987,"Skodborg,Vejen",993,120,12%,18%,32%,38%
Vejen,9137,"Askov,Vejen",1523,144,9%,20%,29%,42%
Vejen,9264,"Stenderup,Vejen",188,23,12%,9%,46%,34%
Vejen,9268,"Sankt Peders,Vejen",915,121,13%,6%,35%,45%
Vejen,9269,"Hovborg,Vejen",364,33,9%,5%,41%,45%
Vejle,,,71,40,56%,6%,14%,24%
Vejle,7893,"Skt Nikolai,Vejle",7041,933,13%,12%,29%,46%
Vejle,7894,"Vor Frelsers,Vejle",3893,462,12%,11%,31%,46%
Vejle,7895,"Skt Johannes,Vejle",2718,502,18%,12%,30%,40%
Vejle,7896,"Hornstrup,Vejle",550,41,7%,15%,42%,36%
Vejle,7898,"Grejs,Vejle",905,99,11%,16%,35%,38%
Vejle,7903,"Bredsten,Vejle",1383,126,9%,16%,35%,40%
Vejle,7904,"Skibet,Vejle",2225,142,6%,16%,38%,40%
Vejle,7905,"Jelling,Vejle",2627,189,7%,16%,32%,45%
Vejle,7906,"Hover,Vejle",3212,278,9%,16%,37%,39%
Vejle,7907,"Kollerup,Vejle",248,26,10%,20%,36%,33%
Vejle,7908,"Vindelev,Vejle",153,13,8%,12%,38%,41%
Vejle,7916,"Gauerslund,Vejle",5782,445,8%,14%,32%,46%
Vejle,7917,"Vinding,Vejle",2383,142,6%,12%,35%,47%
Vejle,7918,"Skærup,Vejle",460,43,9%,12%,40%,38%
Vejle,7919,"Mølholm,Vejle",2754,191,7%,14%,33%,46%
Vejle,7920,"Smidstrup,Vejle",952,87,9%,16%,37%,38%
Vejle,7922,"Gårslev,Vejle",1389,98,7%,12%,34%,47%
Vejle,7923,"Højen,Vejle",781,84,11%,16%,35%,38%
Vejle,7924,"Jerlev,Vejle",601,40,7%,16%,38%,39%
Vejle,7925,"Egtved,Vejle",2208,209,9%,13%,32%,45%
Vejle,7926,"Ødsted,Vejle",1144,76,7%,15%,35%,43%
Vejle,7938,"Ø Starup,Vejle",1199,87,7%,18%,35%,40%
Vejle,7973,"Engum,Vejle",1151,89,8%,15%,39%,38%
Vejle,7975,"Givskud,Vejle",681,65,10%,13%,32%,46%
Vejle,7976,"Ø Nykirke,Vejle",362,39,11%,13%,40%,36%
Vejle,7977,"Thyregod,Vejle",1203,157,13%,12%,35%,40%
Vejle,7978,"Vester,Vejle",220,27,12%,13%,37%,38%
Vejle,7982,"Ringive,Vejle",223,26,12%,16%,38%,35%
Vejle,7983,"Give,Vejle",3262,257,8%,10%,32%,50%
Vejle,7984,"Gadbjerg,Vejle",786,78,10%,14%,37%,40%
Vejle,7985,"Lindeballe,Vejle",284,24,8%,15%,38%,38%
Vejle,7986,"Nørup, Vejle",1056,88,8%,15%,39%,38%
Vejle,7987,"Randbøl,Vejle",873,77,9%,14%,37%,40%
Vejle,9092,"Nørremarks,Vejle",3906,621,16%,13%,33%,38%
Vejle,9100,"Bredballe,Vejle",5317,330,6%,14%,36%,43%
Vejle,9188,"Hvejsel,Vejle",594,85,14%,17%,38%,31%
Vejle,9283,"Farre,Vejle",329,40,12%,17%,40%,31%
Vejle,9284,"Vorslunde,Vejle",83,14,17%,8%,33%,42%
Vejle,9285,"Langelund,Vejle",374,57,15%,15%,38%,32%
Vejle,9286,"Vonge,Vejle",563,54,10%,13%,43%,35%
Vesthimmerlands,,,32,12,38%,6%,34%,22%
Vesthimmerlands,8269,"Aars,Vesthimmerland",5753,430,7%,11%,32%,49%
Vesthimmerlands,8270,"Haubro,Vesthimmerlan",366,37,10%,16%,40%,33%
Vesthimmerlands,8271,"Vester Hornum,Vesthi",406,57,14%,14%,38%,33%
Vesthimmerlands,8272,"Flejsborg,Vesthimmer",219,27,12%,11%,35%,42%
Vesthimmerlands,8273,"Ulstrup,Vesthimmerla",897,104,12%,13%,40%,36%
Vesthimmerlands,8274,"Gundersted,Vesthimme",184,20,11%,15%,35%,39%
Vesthimmerlands,8275,"Blære,Vesthimmerland",262,31,12%,13%,44%,32%
Vesthimmerlands,8277,"Skivum,Vesthimmerlan",388,33,9%,15%,39%,37%
Vesthimmerlands,8278,"Giver,Vesthimmerland",121,12,10%,12%,45%,33%
Vesthimmerlands,8281,"Strandby,Vesthimmerl",569,80,14%,10%,33%,43%
Vesthimmerlands,8282,"Farsø,Vesthimmerland",2678,267,10%,11%,30%,49%
Vesthimmerlands,8283,"Ullits,Vesthimmerlan",163,20,12%,13%,42%,33%
Vesthimmerlands,8284,"Fovlum,Vesthimmerlan",253,26,10%,16%,38%,36%
Vesthimmerlands,8285,"Louns,Vesthimmerland",635,29,5%,6%,29%,61%
Vesthimmerlands,8286,"Alstrup,Vesthimmerla",114,<10,,,,
Vesthimmerlands,8287,"Gislum,Vesthimmerlan",166,17,10%,17%,42%,31%
Vesthimmerlands,8288,"Vognsild,Vesthimmerl",517,72,14%,13%,40%,33%
Vesthimmerlands,8348,"Løgstør,Vesthimmerla",2554,245,10%,8%,30%,53%
Vesthimmerlands,8349,"Løgsted,Vesthimmerla",433,25,6%,13%,44%,37%
Vesthimmerlands,8350,"Ranum,Vesthimmerland",851,120,14%,8%,36%,42%
Vesthimmerlands,8351,"Malle,Vesthimmerland",128,<10,,,,
Vesthimmerlands,8352,"Overlade,Vesthimmerl",676,74,11%,12%,33%,44%
Vesthimmerlands,8353,"Hyllebjerg,Vesthimme",85,16,19%,12%,34%,35%
Vesthimmerlands,8354,"Vilsted,Vesthimmerla",227,26,11%,16%,36%,37%
Vesthimmerlands,8355,"Vindblæs,Vesthimmerl",256,28,11%,15%,39%,35%
Vesthimmerlands,8358,"Næsborg,Vesthimmerla",212,32,15%,16%,34%,35%
Vesthimmerlands,8359,"Kornum,Vesthimmerlan",227,36,16%,5%,31%,48%
Vesthimmerlands,8360,"Salling,Vesthimmerla",255,33,13%,11%,33%,43%
Vesthimmerlands,8361,"Oudrup,Vesthimmerlan",116,13,11%,13%,42%,34%
Vesthimmerlands,8399,"Aggersborg,Vesthimme",288,30,10%,10%,38%,42%
Vesthimmerlands,8517,"Vesterbølle,Vesthimm",220,26,12%,11%,41%,36%
Vesthimmerlands,8518,"Østerbølle,Vesthimme",162,17,10%,7%,47%,36%
Vesthimmerlands,8519,"Gedsted,Vesthimmerl",686,61,9%,9%,35%,47%
Vesthimmerlands,8520,"Fjeldsø,Vesthimmerl",309,39,13%,10%,42%,35%
Vesthimmerlands,8521,"Simested,Vesthimmerl",409,52,13%,11%,42%,35%
Vesthimmerlands,8522,"Testrup,Vesthimmerl",113,20,18%,9%,40%,34%
Vesthimmerlands,8904,"Aalestrup,Vesthimmer",1787,153,9%,10%,30%,51%
Vesthimmerlands,9095,"Svingelbjerg,Vesthim",118,24,20%,8%,32%,39%
Viborg,,,73,38,52%,3%,18%,27%
Viborg,8484,"Sahl,Viborg",336,46,14%,13%,40%,33%
Viborg,8485,"Gullev,Viborg",289,22,8%,17%,41%,34%
Viborg,8497,"Tårup,Viborg",263,35,13%,11%,31%,45%
Viborg,8498,"Kvols,Viborg",83,10,12%,7%,36%,45%
Viborg,8499,"Kobberup,Skive",156,15,10%,12%,39%,40%
Viborg,8500,"Stoholm,Viborg",1653,107,6%,14%,29%,51%
Viborg,8501,"Sparkær,Viborg",510,40,8%,13%,33%,46%
Viborg,8502,"Gammelstrup,Viborg",83,13,16%,19%,29%,36%
Viborg,8503,"Daugbjerg,Viborg",268,19,7%,15%,40%,38%
Viborg,8504,"Mønsted,Viborg",558,30,5%,13%,35%,46%
Viborg,8505,"Smollerup,Viborg",197,23,12%,14%,33%,41%
Viborg,8506,"Vridsted,Viborg",412,25,6%,15%,33%,46%
Viborg,8507,"Fly,Viborg",284,34,12%,16%,35%,37%
Viborg,8508,"Vroue,Viborg",408,36,9%,13%,35%,44%
Viborg,8509,"Resen,Viborg",121,<10,,,,
Viborg,8521,"Simested,Vesthimmerl",20,<10,,,,
Viborg,8523,"Hvam, Viborg",323,43,13%,10%,29%,47%
Viborg,8524,"Hvilsom,Mariagerfjor",35,<10,,,,
Viborg,8525,"Hersom,Viborg",142,27,19%,14%,35%,32%
Viborg,8526,"V Bjerregrav,Viborg",389,28,7%,19%,32%,42%
Viborg,8527,"Klejtrup,Viborg",775,67,9%,14%,32%,46%
Viborg,8528,"V Tostrup,Viborg",745,70,9%,12%,31%,48%
Viborg,8529,"Roum,Viborg",476,55,12%,14%,31%,43%
Viborg,8530,"Låstrup,Viborg",233,12,5%,13%,38%,44%
Viborg,8531,"Skals,Viborg",1363,94,7%,12%,34%,47%
Viborg,8532,"Ulbjerg,Viborg",608,67,11%,13%,34%,43%
Viborg,8533,"Lynderup,Viborg",175,18,10%,17%,32%,41%
Viborg,8534,"Dollerup,Viborg",1252,107,9%,16%,32%,43%
Viborg,8535,"Finderup,Viborg",252,21,8%,20%,36%,36%
Viborg,8536,"Ravnstrup,Viborg",363,30,8%,12%,34%,46%
Viborg,8563,"Vorde,Viborg",813,42,5%,16%,37%,41%
Viborg,8564,"Fiskbæk,Viborg",956,75,8%,14%,30%,48%
Viborg,8565,"Romlund,Viborg",178,16,9%,12%,42%,38%
Viborg,8566,"Rødding,Viborg",813,51,6%,17%,37%,40%
Viborg,8567,"Løvel,Viborg",650,67,10%,16%,32%,41%
Viborg,8568,"Pederstrup,Viborg",68,<10,,,,
Viborg,8569,"Vammen,Viborg",534,63,12%,13%,25%,51%
Viborg,8570,"Lindum,Viborg",207,22,11%,11%,38%,41%
