"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-02-21,1085,Sjælland,157,1085
2021-02-22,1081,Nordjylland,27,1081
2021-02-22,1082,Midtjylland,364,1082
2021-02-22,1083,Syddanmark,184,1083
2021-02-22,1084,Hovedstaden,145,1084
2021-02-22,1085,Sjælland,385,1085
2021-02-23,1081,Nordjylland,24,1081
2021-02-23,1082,Midtjylland,275,1082
2021-02-23,1083,Syddanmark,358,1083
2021-02-23,1084,Hovedstaden,153,1084
2021-02-23,1085,Sjælland,1129,1085
2021-02-24,1081,Nordjylland,8,1081
2021-02-24,1082,Midtjylland,221,1082
2021-02-24,1083,Syddanmark,599,1083
2021-02-24,1084,Hovedstaden,66,1084
2021-02-24,1085,Sjælland,1055,1085
2021-02-25,1081,Nordjylland,17,1081
2021-02-25,1082,Midtjylland,156,1082
2021-02-25,1083,Syddanmark,322,1083
2021-02-25,1084,Hovedstaden,32,1084
2021-02-25,1085,Sjælland,105,1085
2021-02-26,1081,Nordjylland,48,1081
2021-02-26,1082,Midtjylland,390,1082
2021-02-26,1083,Syddanmark,303,1083
2021-02-26,1084,Hovedstaden,61,1084
2021-02-26,1085,Sjælland,205,1085
2021-02-27,1081,Nordjylland,1,1081
2021-02-27,1082,Midtjylland,3,1082
2021-02-27,1083,Syddanmark,116,1083
2021-02-27,1084,Hovedstaden,1114,1084
2021-02-27,1085,Sjælland,216,1085
2021-02-28,1081,Nordjylland,4,1081
2021-02-28,1082,Midtjylland,2,1082
2021-02-28,1083,Syddanmark,29,1083
2021-02-28,1084,Hovedstaden,1144,1084
2021-02-28,1085,Sjælland,232,1085
2021-03-01,1081,Nordjylland,76,1081
2021-03-01,1082,Midtjylland,147,1082
2021-03-01,1083,Syddanmark,376,1083
2021-03-01,1084,Hovedstaden,221,1084
2021-03-01,1085,Sjælland,248,1085
2021-03-02,1081,Nordjylland,69,1081
2021-03-02,1082,Midtjylland,180,1082
2021-03-02,1083,Syddanmark,366,1083
2021-03-02,1084,Hovedstaden,254,1084
2021-03-02,1085,Sjælland,432,1085
2021-03-03,1081,Nordjylland,45,1081
2021-03-03,1082,Midtjylland,217,1082
2021-03-03,1083,Syddanmark,164,1083
2021-03-03,1084,Hovedstaden,40,1084
2021-03-03,1085,Sjælland,563,1085
2021-03-04,1081,Nordjylland,37,1081
2021-03-04,1082,Midtjylland,617,1082
2021-03-04,1083,Syddanmark,177,1083
2021-03-04,1084,Hovedstaden,197,1084
2021-03-04,1085,Sjælland,785,1085
2021-03-05,1081,Nordjylland,688,1081
2021-03-05,1082,Midtjylland,2631,1082
2021-03-05,1083,Syddanmark,502,1083
2021-03-05,1084,Hovedstaden,262,1084
2021-03-05,1085,Sjælland,1633,1085
2021-03-06,1081,Nordjylland,712,1081
2021-03-06,1082,Midtjylland,1538,1082
2021-03-06,1083,Syddanmark,338,1083
2021-03-06,1084,Hovedstaden,94,1084
2021-03-06,1085,Sjælland,1301,1085
2021-03-07,1081,Nordjylland,617,1081
2021-03-07,1082,Midtjylland,1123,1082
2021-03-07,1083,Syddanmark,623,1083
2021-03-07,1084,Hovedstaden,319,1084
2021-03-07,1085,Sjælland,1656,1085
2021-03-08,1081,Nordjylland,606,1081
2021-03-08,1082,Midtjylland,3444,1082
2021-03-08,1083,Syddanmark,798,1083
2021-03-08,1084,Hovedstaden,237,1084
2021-03-08,1085,Sjælland,1377,1085
2021-03-09,1081,Nordjylland,549,1081
2021-03-09,1082,Midtjylland,2779,1082
2021-03-09,1083,Syddanmark,779,1083
2021-03-09,1084,Hovedstaden,1465,1084
2021-03-09,1085,Sjælland,1666,1085
2021-03-10,1081,Nordjylland,372,1081
2021-03-10,1082,Midtjylland,1767,1082
2021-03-10,1083,Syddanmark,853,1083
2021-03-10,1084,Hovedstaden,1698,1084
2021-03-10,1085,Sjælland,2565,1085
2021-03-11,1081,Nordjylland,795,1081
2021-03-11,1082,Midtjylland,1268,1082
2021-03-11,1083,Syddanmark,380,1083
2021-03-11,1084,Hovedstaden,4408,1084
2021-03-11,1085,Sjælland,1173,1085
2021-03-12,1081,Nordjylland,1522,1081
2021-03-12,1082,Midtjylland,1010,1082
2021-03-12,1083,Syddanmark,2248,1083
2021-03-12,1084,Hovedstaden,4856,1084
2021-03-12,1085,Sjælland,985,1085
2021-03-13,1081,Nordjylland,2391,1081
2021-03-13,1082,Midtjylland,586,1082
2021-03-13,1083,Syddanmark,1944,1083
2021-03-13,1084,Hovedstaden,86,1084
2021-03-13,1085,Sjælland,926,1085
2021-03-14,1081,Nordjylland,2265,1081
